op1,op2,n1,n2,n3,intermediate,answer,eq1,eqfull
+,-,3,7,5,10,5,(3+7),(3+7)-5=
+,//,6,6,5,12,2,(6+6),(6+6)//5=
*,*,1,2,3,2,6,(1*2),(1*2)*3=
-,*,7,5,5,2,10,(7-5),(7-5)*5=
+,//,9,2,8,11,1,(9+2),(9+2)//8=
-,-,7,3,5,4,-1,(7-3),(7-3)-5=
//,+,8,8,1,1,2,(8//8),(8//8)+1=
-,-,8,1,7,7,0,(8-1),(8-1)-7=
*,-,4,7,7,28,21,(4*7),(4*7)-7=
+,+,1,9,7,10,17,(1+9),(1+9)+7=
+,*,5,6,1,11,11,(5+6),(5+6)*1=
-,-,4,7,1,-3,-4,(4-7),(4-7)-1=
+,//,2,5,3,7,2,(2+5),(2+5)//3=
//,*,9,1,2,9,18,(9//1),(9//1)*2=
+,-,4,8,8,12,4,(4+8),(4+8)-8=
+,-,7,4,8,11,3,(7+4),(7+4)-8=
+,//,1,1,5,2,0,(1+1),(1+1)//5=
-,*,4,7,4,-3,-12,(4-7),(4-7)*4=
//,+,7,5,2,1,3,(7//5),(7//5)+2=
*,//,9,5,8,45,5,(9*5),(9*5)//8=
+,//,9,4,2,13,6,(9+4),(9+4)//2=
*,*,1,8,1,8,8,(1*8),(1*8)*1=
//,*,3,3,6,1,6,(3//3),(3//3)*6=
*,+,5,2,2,10,12,(5*2),(5*2)+2=
-,-,5,8,7,-3,-10,(5-8),(5-8)-7=
*,+,2,4,4,8,12,(2*4),(2*4)+4=
+,*,2,4,8,6,48,(2+4),(2+4)*8=
//,-,2,9,6,0,-6,(2//9),(2//9)-6=
+,+,4,7,8,11,19,(4+7),(4+7)+8=
//,//,9,6,5,1,0,(9//6),(9//6)//5=
//,+,6,6,1,1,2,(6//6),(6//6)+1=
*,*,7,7,4,49,196,(7*7),(7*7)*4=
*,+,5,6,5,30,35,(5*6),(5*6)+5=
-,+,4,9,3,-5,-2,(4-9),(4-9)+3=
*,+,6,9,6,54,60,(6*9),(6*9)+6=
-,//,7,6,6,1,0,(7-6),(7-6)//6=
+,+,7,8,3,15,18,(7+8),(7+8)+3=
*,//,7,9,5,63,12,(7*9),(7*9)//5=
*,-,2,6,2,12,10,(2*6),(2*6)-2=
-,*,5,4,7,1,7,(5-4),(5-4)*7=
-,-,7,3,1,4,3,(7-3),(7-3)-1=
//,//,1,2,5,0,0,(1//2),(1//2)//5=
//,//,7,4,8,1,0,(7//4),(7//4)//8=
+,//,1,2,3,3,1,(1+2),(1+2)//3=
//,+,2,8,5,0,5,(2//8),(2//8)+5=
//,*,4,6,4,0,0,(4//6),(4//6)*4=
+,//,4,5,9,9,1,(4+5),(4+5)//9=
//,//,6,6,8,1,0,(6//6),(6//6)//8=
//,//,5,4,8,1,0,(5//4),(5//4)//8=
//,+,4,3,2,1,3,(4//3),(4//3)+2=
-,*,8,1,6,7,42,(8-1),(8-1)*6=
-,//,1,7,9,-6,-1,(1-7),(1-7)//9=
-,//,2,8,9,-6,-1,(2-8),(2-8)//9=
-,-,9,5,2,4,2,(9-5),(9-5)-2=
*,*,9,6,9,54,486,(9*6),(9*6)*9=
//,-,6,7,7,0,-7,(6//7),(6//7)-7=
+,//,6,3,4,9,2,(6+3),(6+3)//4=
*,-,5,6,1,30,29,(5*6),(5*6)-1=
*,//,6,4,2,24,12,(6*4),(6*4)//2=
*,-,6,2,2,12,10,(6*2),(6*2)-2=
+,-,6,8,5,14,9,(6+8),(6+8)-5=
-,-,6,7,8,-1,-9,(6-7),(6-7)-8=
*,-,5,4,6,20,14,(5*4),(5*4)-6=
-,//,6,2,9,4,0,(6-2),(6-2)//9=
*,-,4,8,4,32,28,(4*8),(4*8)-4=
*,+,2,4,3,8,11,(2*4),(2*4)+3=
//,+,9,2,3,4,7,(9//2),(9//2)+3=
+,+,8,7,9,15,24,(8+7),(8+7)+9=
+,*,4,8,7,12,84,(4+8),(4+8)*7=
//,*,6,9,1,0,0,(6//9),(6//9)*1=
*,-,8,7,7,56,49,(8*7),(8*7)-7=
-,-,3,8,7,-5,-12,(3-8),(3-8)-7=
*,*,6,8,1,48,48,(6*8),(6*8)*1=
+,+,4,8,8,12,20,(4+8),(4+8)+8=
-,+,8,2,1,6,7,(8-2),(8-2)+1=
*,+,4,1,4,4,8,(4*1),(4*1)+4=
*,-,5,6,3,30,27,(5*6),(5*6)-3=
//,+,9,4,9,2,11,(9//4),(9//4)+9=
//,+,8,5,7,1,8,(8//5),(8//5)+7=
*,*,2,7,2,14,28,(2*7),(2*7)*2=
//,-,8,3,6,2,-4,(8//3),(8//3)-6=
+,//,9,1,9,10,1,(9+1),(9+1)//9=
*,*,6,5,5,30,150,(6*5),(6*5)*5=
//,+,1,2,7,0,7,(1//2),(1//2)+7=
+,+,8,5,3,13,16,(8+5),(8+5)+3=
*,+,3,7,6,21,27,(3*7),(3*7)+6=
*,+,9,3,1,27,28,(9*3),(9*3)+1=
-,+,9,8,8,1,9,(9-8),(9-8)+8=
-,-,6,1,4,5,1,(6-1),(6-1)-4=
//,-,3,1,6,3,-3,(3//1),(3//1)-6=
*,-,8,6,3,48,45,(8*6),(8*6)-3=
//,*,3,4,7,0,0,(3//4),(3//4)*7=
-,*,2,7,3,-5,-15,(2-7),(2-7)*3=
-,+,7,6,2,1,3,(7-6),(7-6)+2=
*,-,9,8,6,72,66,(9*8),(9*8)-6=
-,//,7,7,5,0,0,(7-7),(7-7)//5=
+,//,7,9,7,16,2,(7+9),(7+9)//7=
-,//,1,1,1,0,0,(1-1),(1-1)//1=
*,-,6,6,3,36,33,(6*6),(6*6)-3=
*,+,5,8,1,40,41,(5*8),(5*8)+1=
-,+,1,9,6,-8,-2,(1-9),(1-9)+6=
//,//,2,9,6,0,0,(2//9),(2//9)//6=
*,-,8,1,5,8,3,(8*1),(8*1)-5=
+,//,2,9,7,11,1,(2+9),(2+9)//7=
+,-,4,4,5,8,3,(4+4),(4+4)-5=
//,*,5,2,9,2,18,(5//2),(5//2)*9=
*,+,6,2,2,12,14,(6*2),(6*2)+2=
-,+,7,6,7,1,8,(7-6),(7-6)+7=
-,*,7,1,9,6,54,(7-1),(7-1)*9=
-,*,9,6,7,3,21,(9-6),(9-6)*7=
+,*,8,7,1,15,15,(8+7),(8+7)*1=
+,+,1,3,7,4,11,(1+3),(1+3)+7=
*,-,8,1,1,8,7,(8*1),(8*1)-1=
//,+,3,6,6,0,6,(3//6),(3//6)+6=
+,+,5,7,6,12,18,(5+7),(5+7)+6=
*,-,3,6,2,18,16,(3*6),(3*6)-2=
*,//,7,8,5,56,11,(7*8),(7*8)//5=
*,-,6,6,6,36,30,(6*6),(6*6)-6=
+,+,9,7,3,16,19,(9+7),(9+7)+3=
*,+,6,2,8,12,20,(6*2),(6*2)+8=
-,+,2,6,2,-4,-2,(2-6),(2-6)+2=
+,*,6,7,7,13,91,(6+7),(6+7)*7=
*,-,9,6,3,54,51,(9*6),(9*6)-3=
//,-,2,3,7,0,-7,(2//3),(2//3)-7=
-,//,1,4,7,-3,-1,(1-4),(1-4)//7=
+,+,4,1,6,5,11,(4+1),(4+1)+6=
-,//,9,6,9,3,0,(9-6),(9-6)//9=
*,+,1,7,6,7,13,(1*7),(1*7)+6=
//,*,3,2,9,1,9,(3//2),(3//2)*9=
//,*,3,7,5,0,0,(3//7),(3//7)*5=
//,*,6,2,4,3,12,(6//2),(6//2)*4=
*,-,9,2,1,18,17,(9*2),(9*2)-1=
-,//,5,8,6,-3,-1,(5-8),(5-8)//6=
+,+,7,2,6,9,15,(7+2),(7+2)+6=
+,//,8,8,6,16,2,(8+8),(8+8)//6=
+,*,4,1,5,5,25,(4+1),(4+1)*5=
-,//,2,6,6,-4,-1,(2-6),(2-6)//6=
//,+,4,8,4,0,4,(4//8),(4//8)+4=
//,*,7,9,2,0,0,(7//9),(7//9)*2=
+,-,6,5,1,11,10,(6+5),(6+5)-1=
//,*,1,4,2,0,0,(1//4),(1//4)*2=
//,+,7,7,1,1,2,(7//7),(7//7)+1=
+,-,8,5,6,13,7,(8+5),(8+5)-6=
+,-,2,9,2,11,9,(2+9),(2+9)-2=
//,*,2,8,6,0,0,(2//8),(2//8)*6=
*,*,4,4,4,16,64,(4*4),(4*4)*4=
+,+,2,6,5,8,13,(2+6),(2+6)+5=
+,//,6,8,4,14,3,(6+8),(6+8)//4=
//,//,8,7,9,1,0,(8//7),(8//7)//9=
-,*,2,9,8,-7,-56,(2-9),(2-9)*8=
-,//,1,5,9,-4,-1,(1-5),(1-5)//9=
+,*,7,5,2,12,24,(7+5),(7+5)*2=
-,*,4,4,4,0,0,(4-4),(4-4)*4=
//,+,4,9,7,0,7,(4//9),(4//9)+7=
-,-,1,8,5,-7,-12,(1-8),(1-8)-5=
*,+,1,7,2,7,9,(1*7),(1*7)+2=
*,-,8,3,7,24,17,(8*3),(8*3)-7=
//,*,6,9,5,0,0,(6//9),(6//9)*5=
+,*,3,9,5,12,60,(3+9),(3+9)*5=
//,*,5,1,6,5,30,(5//1),(5//1)*6=
+,*,3,8,6,11,66,(3+8),(3+8)*6=
-,*,3,9,8,-6,-48,(3-9),(3-9)*8=
//,//,6,1,8,6,0,(6//1),(6//1)//8=
-,*,4,1,6,3,18,(4-1),(4-1)*6=
-,*,1,9,1,-8,-8,(1-9),(1-9)*1=
+,+,4,3,4,7,11,(4+3),(4+3)+4=
//,*,1,9,5,0,0,(1//9),(1//9)*5=
//,-,3,2,6,1,-5,(3//2),(3//2)-6=
//,//,2,8,7,0,0,(2//8),(2//8)//7=
+,-,8,7,8,15,7,(8+7),(8+7)-8=
+,*,1,8,3,9,27,(1+8),(1+8)*3=
*,+,3,6,2,18,20,(3*6),(3*6)+2=
+,+,5,5,2,10,12,(5+5),(5+5)+2=
+,//,6,4,1,10,10,(6+4),(6+4)//1=
-,-,6,6,4,0,-4,(6-6),(6-6)-4=
-,-,2,7,3,-5,-8,(2-7),(2-7)-3=
//,*,9,8,7,1,7,(9//8),(9//8)*7=
*,-,6,9,3,54,51,(6*9),(6*9)-3=
*,+,2,7,1,14,15,(2*7),(2*7)+1=
+,+,5,4,8,9,17,(5+4),(5+4)+8=
*,+,2,9,3,18,21,(2*9),(2*9)+3=
+,+,7,6,1,13,14,(7+6),(7+6)+1=
+,-,9,9,1,18,17,(9+9),(9+9)-1=
-,*,3,1,1,2,2,(3-1),(3-1)*1=
-,+,9,7,4,2,6,(9-7),(9-7)+4=
//,*,7,1,9,7,63,(7//1),(7//1)*9=
*,+,7,1,5,7,12,(7*1),(7*1)+5=
-,//,3,4,3,-1,-1,(3-4),(3-4)//3=
-,+,2,2,8,0,8,(2-2),(2-2)+8=
+,+,3,1,2,4,6,(3+1),(3+1)+2=
-,//,7,1,2,6,3,(7-1),(7-1)//2=
//,*,6,4,9,1,9,(6//4),(6//4)*9=
-,//,7,8,2,-1,-1,(7-8),(7-8)//2=
*,//,6,3,4,18,4,(6*3),(6*3)//4=
//,*,3,9,7,0,0,(3//9),(3//9)*7=
-,//,4,2,8,2,0,(4-2),(4-2)//8=
//,+,5,6,3,0,3,(5//6),(5//6)+3=
+,*,3,9,7,12,84,(3+9),(3+9)*7=
-,+,6,7,7,-1,6,(6-7),(6-7)+7=
*,*,8,5,9,40,360,(8*5),(8*5)*9=
+,//,2,8,4,10,2,(2+8),(2+8)//4=
//,+,3,2,5,1,6,(3//2),(3//2)+5=
*,*,4,1,7,4,28,(4*1),(4*1)*7=
-,*,2,7,8,-5,-40,(2-7),(2-7)*8=
-,//,2,6,4,-4,-1,(2-6),(2-6)//4=
-,*,1,4,3,-3,-9,(1-4),(1-4)*3=
-,//,2,8,4,-6,-2,(2-8),(2-8)//4=
//,+,4,6,3,0,3,(4//6),(4//6)+3=
//,*,1,7,6,0,0,(1//7),(1//7)*6=
//,//,6,2,1,3,3,(6//2),(6//2)//1=
+,//,4,5,4,9,2,(4+5),(4+5)//4=
*,*,2,5,3,10,30,(2*5),(2*5)*3=
*,*,6,2,8,12,96,(6*2),(6*2)*8=
-,*,1,4,6,-3,-18,(1-4),(1-4)*6=
//,*,9,6,5,1,5,(9//6),(9//6)*5=
*,+,9,8,6,72,78,(9*8),(9*8)+6=
//,*,8,6,5,1,5,(8//6),(8//6)*5=
//,*,7,9,5,0,0,(7//9),(7//9)*5=
+,//,5,1,7,6,0,(5+1),(5+1)//7=
//,-,7,2,9,3,-6,(7//2),(7//2)-9=
-,+,8,3,3,5,8,(8-3),(8-3)+3=
*,+,7,2,6,14,20,(7*2),(7*2)+6=
-,+,8,5,6,3,9,(8-5),(8-5)+6=
//,*,6,7,3,0,0,(6//7),(6//7)*3=
+,*,8,6,4,14,56,(8+6),(8+6)*4=
+,//,1,8,8,9,1,(1+8),(1+8)//8=
*,+,4,8,8,32,40,(4*8),(4*8)+8=
*,+,3,8,3,24,27,(3*8),(3*8)+3=
+,-,8,3,3,11,8,(8+3),(8+3)-3=
//,*,5,5,8,1,8,(5//5),(5//5)*8=
*,//,8,2,3,16,5,(8*2),(8*2)//3=
+,-,2,2,3,4,1,(2+2),(2+2)-3=
+,*,7,2,6,9,54,(7+2),(7+2)*6=
//,+,5,1,6,5,11,(5//1),(5//1)+6=
//,//,4,6,5,0,0,(4//6),(4//6)//5=
//,+,1,6,7,0,7,(1//6),(1//6)+7=
*,+,7,7,8,49,57,(7*7),(7*7)+8=
*,-,9,5,8,45,37,(9*5),(9*5)-8=
+,//,3,3,2,6,3,(3+3),(3+3)//2=
-,-,4,7,5,-3,-8,(4-7),(4-7)-5=
*,-,5,6,2,30,28,(5*6),(5*6)-2=
*,//,9,8,9,72,8,(9*8),(9*8)//9=
//,//,9,6,7,1,0,(9//6),(9//6)//7=
//,//,5,7,8,0,0,(5//7),(5//7)//8=
//,//,2,3,7,0,0,(2//3),(2//3)//7=
*,*,2,5,2,10,20,(2*5),(2*5)*2=
-,-,5,2,8,3,-5,(5-2),(5-2)-8=
-,//,4,6,9,-2,-1,(4-6),(4-6)//9=
*,-,6,8,9,48,39,(6*8),(6*8)-9=
*,//,5,8,5,40,8,(5*8),(5*8)//5=
+,-,7,3,5,10,5,(7+3),(7+3)-5=
+,+,3,3,8,6,14,(3+3),(3+3)+8=
+,//,5,7,1,12,12,(5+7),(5+7)//1=
-,*,4,8,9,-4,-36,(4-8),(4-8)*9=
-,-,2,2,5,0,-5,(2-2),(2-2)-5=
//,+,3,1,2,3,5,(3//1),(3//1)+2=
*,//,8,6,1,48,48,(8*6),(8*6)//1=
*,-,8,6,2,48,46,(8*6),(8*6)-2=
*,-,6,8,4,48,44,(6*8),(6*8)-4=
-,+,7,9,6,-2,4,(7-9),(7-9)+6=
//,-,7,7,9,1,-8,(7//7),(7//7)-9=
*,*,4,3,9,12,108,(4*3),(4*3)*9=
+,-,3,3,2,6,4,(3+3),(3+3)-2=
*,//,7,3,6,21,3,(7*3),(7*3)//6=
*,//,3,6,3,18,6,(3*6),(3*6)//3=
*,//,7,4,8,28,3,(7*4),(7*4)//8=
*,*,8,9,8,72,576,(8*9),(8*9)*8=
+,*,2,7,2,9,18,(2+7),(2+7)*2=
*,*,3,8,5,24,120,(3*8),(3*8)*5=
-,+,5,8,6,-3,3,(5-8),(5-8)+6=
-,+,3,9,9,-6,3,(3-9),(3-9)+9=
+,//,1,3,2,4,2,(1+3),(1+3)//2=
+,//,8,8,9,16,1,(8+8),(8+8)//9=
//,+,3,5,3,0,3,(3//5),(3//5)+3=
-,//,7,2,7,5,0,(7-2),(7-2)//7=
*,//,4,9,7,36,5,(4*9),(4*9)//7=
+,-,9,2,8,11,3,(9+2),(9+2)-8=
//,*,1,7,9,0,0,(1//7),(1//7)*9=
//,-,4,8,4,0,-4,(4//8),(4//8)-4=
+,-,5,4,5,9,4,(5+4),(5+4)-5=
+,*,3,6,9,9,81,(3+6),(3+6)*9=
//,*,2,5,3,0,0,(2//5),(2//5)*3=
+,//,5,4,1,9,9,(5+4),(5+4)//1=
*,+,6,6,6,36,42,(6*6),(6*6)+6=
*,*,5,9,5,45,225,(5*9),(5*9)*5=
//,*,8,2,6,4,24,(8//2),(8//2)*6=
*,*,3,1,5,3,15,(3*1),(3*1)*5=
//,-,2,2,7,1,-6,(2//2),(2//2)-7=
+,//,3,2,1,5,5,(3+2),(3+2)//1=
//,-,9,2,4,4,0,(9//2),(9//2)-4=
-,+,5,5,8,0,8,(5-5),(5-5)+8=
+,*,1,3,4,4,16,(1+3),(1+3)*4=
+,*,9,5,6,14,84,(9+5),(9+5)*6=
-,+,4,5,4,-1,3,(4-5),(4-5)+4=
*,+,3,9,7,27,34,(3*9),(3*9)+7=
-,//,9,6,2,3,1,(9-6),(9-6)//2=
//,*,7,9,6,0,0,(7//9),(7//9)*6=
//,+,8,2,2,4,6,(8//2),(8//2)+2=
//,*,8,2,4,4,16,(8//2),(8//2)*4=
-,*,1,4,9,-3,-27,(1-4),(1-4)*9=
-,*,8,3,9,5,45,(8-3),(8-3)*9=
-,//,5,7,2,-2,-1,(5-7),(5-7)//2=
//,//,4,4,1,1,1,(4//4),(4//4)//1=
-,-,1,1,7,0,-7,(1-1),(1-1)-7=
+,//,2,5,5,7,1,(2+5),(2+5)//5=
*,+,3,1,6,3,9,(3*1),(3*1)+6=
+,-,3,6,9,9,0,(3+6),(3+6)-9=
+,//,5,6,9,11,1,(5+6),(5+6)//9=
*,//,2,8,6,16,2,(2*8),(2*8)//6=
//,-,9,5,2,1,-1,(9//5),(9//5)-2=
//,//,8,6,8,1,0,(8//6),(8//6)//8=
*,+,1,1,6,1,7,(1*1),(1*1)+6=
+,*,2,8,7,10,70,(2+8),(2+8)*7=
+,+,4,8,3,12,15,(4+8),(4+8)+3=
//,//,7,9,8,0,0,(7//9),(7//9)//8=
-,*,9,5,8,4,32,(9-5),(9-5)*8=
//,+,8,8,8,1,9,(8//8),(8//8)+8=
//,-,2,4,6,0,-6,(2//4),(2//4)-6=
//,+,7,7,3,1,4,(7//7),(7//7)+3=
+,*,4,2,5,6,30,(4+2),(4+2)*5=
//,-,2,1,5,2,-3,(2//1),(2//1)-5=
*,-,5,7,8,35,27,(5*7),(5*7)-8=
*,//,5,6,6,30,5,(5*6),(5*6)//6=
+,-,1,2,2,3,1,(1+2),(1+2)-2=
//,*,4,1,9,4,36,(4//1),(4//1)*9=
*,*,5,7,2,35,70,(5*7),(5*7)*2=
+,+,9,8,2,17,19,(9+8),(9+8)+2=
//,//,1,9,6,0,0,(1//9),(1//9)//6=
+,//,6,4,7,10,1,(6+4),(6+4)//7=
-,+,3,6,7,-3,4,(3-6),(3-6)+7=
+,+,7,7,4,14,18,(7+7),(7+7)+4=
-,//,2,5,5,-3,-1,(2-5),(2-5)//5=
//,//,5,7,6,0,0,(5//7),(5//7)//6=
-,//,3,3,7,0,0,(3-3),(3-3)//7=
+,//,5,7,5,12,2,(5+7),(5+7)//5=
*,+,2,1,5,2,7,(2*1),(2*1)+5=
-,*,1,2,2,-1,-2,(1-2),(1-2)*2=
*,//,9,1,7,9,1,(9*1),(9*1)//7=
-,//,2,3,5,-1,-1,(2-3),(2-3)//5=
*,//,2,3,1,6,6,(2*3),(2*3)//1=
-,*,3,8,8,-5,-40,(3-8),(3-8)*8=
//,*,8,8,3,1,3,(8//8),(8//8)*3=
//,//,3,7,1,0,0,(3//7),(3//7)//1=
+,+,9,5,7,14,21,(9+5),(9+5)+7=
//,*,1,2,6,0,0,(1//2),(1//2)*6=
*,*,4,2,3,8,24,(4*2),(4*2)*3=
//,//,5,5,2,1,0,(5//5),(5//5)//2=
-,-,4,5,2,-1,-3,(4-5),(4-5)-2=
*,*,4,2,2,8,16,(4*2),(4*2)*2=
-,-,6,8,1,-2,-3,(6-8),(6-8)-1=
//,*,8,5,8,1,8,(8//5),(8//5)*8=
*,-,3,1,6,3,-3,(3*1),(3*1)-6=
//,+,8,3,4,2,6,(8//3),(8//3)+4=
+,-,2,5,1,7,6,(2+5),(2+5)-1=
-,-,2,8,7,-6,-13,(2-8),(2-8)-7=
-,+,9,8,3,1,4,(9-8),(9-8)+3=
*,+,1,8,3,8,11,(1*8),(1*8)+3=
*,-,4,8,1,32,31,(4*8),(4*8)-1=
*,*,9,5,1,45,45,(9*5),(9*5)*1=
*,+,9,8,3,72,75,(9*8),(9*8)+3=
//,//,7,4,4,1,0,(7//4),(7//4)//4=
*,-,4,7,3,28,25,(4*7),(4*7)-3=
*,+,7,9,2,63,65,(7*9),(7*9)+2=
+,-,2,5,7,7,0,(2+5),(2+5)-7=
//,-,3,8,2,0,-2,(3//8),(3//8)-2=
*,*,1,1,1,1,1,(1*1),(1*1)*1=
-,*,9,7,9,2,18,(9-7),(9-7)*9=
*,+,5,7,4,35,39,(5*7),(5*7)+4=
+,-,8,8,2,16,14,(8+8),(8+8)-2=
*,+,1,5,3,5,8,(1*5),(1*5)+3=
*,-,6,7,7,42,35,(6*7),(6*7)-7=
+,*,6,7,6,13,78,(6+7),(6+7)*6=
+,*,8,5,8,13,104,(8+5),(8+5)*8=
+,//,5,9,3,14,4,(5+9),(5+9)//3=
*,+,6,2,7,12,19,(6*2),(6*2)+7=
+,//,5,8,3,13,4,(5+8),(5+8)//3=
*,//,7,4,9,28,3,(7*4),(7*4)//9=
+,+,3,9,3,12,15,(3+9),(3+9)+3=
+,-,6,5,9,11,2,(6+5),(6+5)-9=
//,-,9,6,5,1,-4,(9//6),(9//6)-5=
+,//,6,7,1,13,13,(6+7),(6+7)//1=
//,//,9,1,8,9,1,(9//1),(9//1)//8=
//,-,5,5,9,1,-8,(5//5),(5//5)-9=
//,*,6,8,9,0,0,(6//8),(6//8)*9=
+,*,8,6,1,14,14,(8+6),(8+6)*1=
*,//,1,1,6,1,0,(1*1),(1*1)//6=
*,*,3,9,2,27,54,(3*9),(3*9)*2=
//,-,3,2,2,1,-1,(3//2),(3//2)-2=
*,*,1,5,5,5,25,(1*5),(1*5)*5=
*,*,9,6,4,54,216,(9*6),(9*6)*4=
//,+,4,3,4,1,5,(4//3),(4//3)+4=
+,//,9,4,5,13,2,(9+4),(9+4)//5=
//,*,3,7,7,0,0,(3//7),(3//7)*7=
//,+,1,1,4,1,5,(1//1),(1//1)+4=
*,//,9,2,4,18,4,(9*2),(9*2)//4=
//,+,3,3,1,1,2,(3//3),(3//3)+1=
-,//,5,8,9,-3,-1,(5-8),(5-8)//9=
-,-,6,1,6,5,-1,(6-1),(6-1)-6=
-,*,4,7,2,-3,-6,(4-7),(4-7)*2=
*,-,8,1,9,8,-1,(8*1),(8*1)-9=
*,+,6,9,5,54,59,(6*9),(6*9)+5=
+,+,6,1,8,7,15,(6+1),(6+1)+8=
-,+,4,9,8,-5,3,(4-9),(4-9)+8=
//,-,1,5,6,0,-6,(1//5),(1//5)-6=
-,*,9,6,4,3,12,(9-6),(9-6)*4=
-,*,1,7,8,-6,-48,(1-7),(1-7)*8=
//,//,7,4,5,1,0,(7//4),(7//4)//5=
//,*,4,3,8,1,8,(4//3),(4//3)*8=
-,*,3,1,7,2,14,(3-1),(3-1)*7=
+,+,8,2,2,10,12,(8+2),(8+2)+2=
*,*,2,7,9,14,126,(2*7),(2*7)*9=
*,-,2,1,3,2,-1,(2*1),(2*1)-3=
-,//,1,9,3,-8,-3,(1-9),(1-9)//3=
-,+,4,4,9,0,9,(4-4),(4-4)+9=
*,+,4,7,1,28,29,(4*7),(4*7)+1=
+,//,2,4,5,6,1,(2+4),(2+4)//5=
*,*,1,4,9,4,36,(1*4),(1*4)*9=
//,//,4,6,2,0,0,(4//6),(4//6)//2=
//,//,4,1,1,4,4,(4//1),(4//1)//1=
+,+,1,8,2,9,11,(1+8),(1+8)+2=
*,-,3,5,9,15,6,(3*5),(3*5)-9=
//,//,8,3,2,2,1,(8//3),(8//3)//2=
*,-,7,9,2,63,61,(7*9),(7*9)-2=
*,*,3,4,4,12,48,(3*4),(3*4)*4=
+,+,1,2,2,3,5,(1+2),(1+2)+2=
//,-,2,4,9,0,-9,(2//4),(2//4)-9=
-,-,7,2,2,5,3,(7-2),(7-2)-2=
//,*,2,3,5,0,0,(2//3),(2//3)*5=
+,//,2,9,1,11,11,(2+9),(2+9)//1=
+,+,9,1,4,10,14,(9+1),(9+1)+4=
*,+,8,2,3,16,19,(8*2),(8*2)+3=
//,+,1,7,3,0,3,(1//7),(1//7)+3=
+,+,9,7,4,16,20,(9+7),(9+7)+4=
//,*,7,8,5,0,0,(7//8),(7//8)*5=
//,//,3,6,7,0,0,(3//6),(3//6)//7=
+,*,6,8,8,14,112,(6+8),(6+8)*8=
*,*,7,2,9,14,126,(7*2),(7*2)*9=
//,-,4,1,8,4,-4,(4//1),(4//1)-8=
//,-,2,1,1,2,1,(2//1),(2//1)-1=
-,+,6,4,9,2,11,(6-4),(6-4)+9=
*,//,8,3,5,24,4,(8*3),(8*3)//5=
*,-,2,7,4,14,10,(2*7),(2*7)-4=
+,-,2,5,9,7,-2,(2+5),(2+5)-9=
-,-,6,9,3,-3,-6,(6-9),(6-9)-3=
+,*,8,8,7,16,112,(8+8),(8+8)*7=
+,+,4,5,5,9,14,(4+5),(4+5)+5=
*,-,6,4,3,24,21,(6*4),(6*4)-3=
-,+,9,9,3,0,3,(9-9),(9-9)+3=
-,+,2,4,7,-2,5,(2-4),(2-4)+7=
+,+,6,4,4,10,14,(6+4),(6+4)+4=
-,*,1,8,3,-7,-21,(1-8),(1-8)*3=
+,//,7,4,5,11,2,(7+4),(7+4)//5=
+,//,5,4,8,9,1,(5+4),(5+4)//8=
//,+,2,3,4,0,4,(2//3),(2//3)+4=
-,-,9,3,2,6,4,(9-3),(9-3)-2=
//,*,9,9,7,1,7,(9//9),(9//9)*7=
*,*,9,8,4,72,288,(9*8),(9*8)*4=
+,//,5,3,6,8,1,(5+3),(5+3)//6=
+,//,5,9,7,14,2,(5+9),(5+9)//7=
-,//,6,1,3,5,1,(6-1),(6-1)//3=
+,*,2,4,5,6,30,(2+4),(2+4)*5=
//,-,7,5,7,1,-6,(7//5),(7//5)-7=
+,//,3,4,5,7,1,(3+4),(3+4)//5=
-,*,7,5,2,2,4,(7-5),(7-5)*2=
+,-,3,2,7,5,-2,(3+2),(3+2)-7=
*,//,4,7,5,28,5,(4*7),(4*7)//5=
*,*,8,8,1,64,64,(8*8),(8*8)*1=
//,-,7,7,5,1,-4,(7//7),(7//7)-5=
-,*,7,8,4,-1,-4,(7-8),(7-8)*4=
+,-,9,2,5,11,6,(9+2),(9+2)-5=
-,//,9,8,5,1,0,(9-8),(9-8)//5=
//,*,1,9,3,0,0,(1//9),(1//9)*3=
*,//,2,3,4,6,1,(2*3),(2*3)//4=
//,+,4,2,7,2,9,(4//2),(4//2)+7=
//,//,1,5,1,0,0,(1//5),(1//5)//1=
//,+,7,5,5,1,6,(7//5),(7//5)+5=
+,+,5,3,4,8,12,(5+3),(5+3)+4=
-,*,6,3,8,3,24,(6-3),(6-3)*8=
+,-,4,9,4,13,9,(4+9),(4+9)-4=
+,*,3,6,4,9,36,(3+6),(3+6)*4=
*,*,2,4,8,8,64,(2*4),(2*4)*8=
-,*,6,9,3,-3,-9,(6-9),(6-9)*3=
*,//,6,4,8,24,3,(6*4),(6*4)//8=
//,+,7,8,2,0,2,(7//8),(7//8)+2=
+,//,6,3,2,9,4,(6+3),(6+3)//2=
//,//,9,8,2,1,0,(9//8),(9//8)//2=
//,//,6,8,6,0,0,(6//8),(6//8)//6=
*,-,2,3,8,6,-2,(2*3),(2*3)-8=
+,//,1,8,9,9,1,(1+8),(1+8)//9=
//,//,6,5,2,1,0,(6//5),(6//5)//2=
-,-,2,9,6,-7,-13,(2-9),(2-9)-6=
-,*,9,1,2,8,16,(9-1),(9-1)*2=
*,//,3,1,4,3,0,(3*1),(3*1)//4=
