variable,op1,op2,n1,n2,n3,intermediate,answer,eq1,eq2,eqfull
m,//,+,5,1,3,5,8,m=5//1,m+3=,m=5//1. m+3=
e,-,+,9,1,7,8,15,e=9-1,e+7=,e=9-1. e+7=
o,//,-,7,7,9,1,-8,o=7//7,o-9=,o=7//7. o-9=
q,*,*,2,3,4,6,24,q=2*3,q*4=,q=2*3. q*4=
j,-,-,5,5,3,0,-3,j=5-5,j-3=,j=5-5. j-3=
r,+,//,6,6,6,12,2,r=6+6,r//6=,r=6+6. r//6=
n,//,-,1,2,9,0,-9,n=1//2,n-9=,n=1//2. n-9=
e,-,//,4,8,9,-4,-1,e=4-8,e//9=,e=4-8. e//9=
x,*,+,9,6,6,54,60,x=9*6,x+6=,x=9*6. x+6=
i,*,+,1,5,2,5,7,i=1*5,i+2=,i=1*5. i+2=
s,//,//,4,6,3,0,0,s=4//6,s//3=,s=4//6. s//3=
t,+,*,9,6,9,15,135,t=9+6,t*9=,t=9+6. t*9=
m,+,*,7,8,8,15,120,m=7+8,m*8=,m=7+8. m*8=
f,*,//,8,7,4,56,14,f=8*7,f//4=,f=8*7. f//4=
f,-,//,9,7,1,2,2,f=9-7,f//1=,f=9-7. f//1=
z,*,//,2,9,9,18,2,z=2*9,z//9=,z=2*9. z//9=
h,*,+,8,2,6,16,22,h=8*2,h+6=,h=8*2. h+6=
d,//,//,2,9,2,0,0,d=2//9,d//2=,d=2//9. d//2=
k,+,//,5,1,8,6,0,k=5+1,k//8=,k=5+1. k//8=
n,//,//,3,1,2,3,1,n=3//1,n//2=,n=3//1. n//2=
t,//,+,8,1,4,8,12,t=8//1,t+4=,t=8//1. t+4=
h,*,*,7,6,5,42,210,h=7*6,h*5=,h=7*6. h*5=
f,*,+,5,4,5,20,25,f=5*4,f+5=,f=5*4. f+5=
z,-,-,5,6,2,-1,-3,z=5-6,z-2=,z=5-6. z-2=
f,*,+,4,9,9,36,45,f=4*9,f+9=,f=4*9. f+9=
e,+,//,1,5,9,6,0,e=1+5,e//9=,e=1+5. e//9=
z,*,*,5,7,7,35,245,z=5*7,z*7=,z=5*7. z*7=
g,*,+,1,7,5,7,12,g=1*7,g+5=,g=1*7. g+5=
n,//,*,7,1,3,7,21,n=7//1,n*3=,n=7//1. n*3=
j,+,//,8,2,9,10,1,j=8+2,j//9=,j=8+2. j//9=
s,//,-,7,4,6,1,-5,s=7//4,s-6=,s=7//4. s-6=
b,//,+,9,3,2,3,5,b=9//3,b+2=,b=9//3. b+2=
o,//,+,2,7,3,0,3,o=2//7,o+3=,o=2//7. o+3=
m,*,+,7,8,3,56,59,m=7*8,m+3=,m=7*8. m+3=
v,+,*,4,1,4,5,20,v=4+1,v*4=,v=4+1. v*4=
o,//,-,2,3,4,0,-4,o=2//3,o-4=,o=2//3. o-4=
k,-,//,5,8,8,-3,-1,k=5-8,k//8=,k=5-8. k//8=
w,//,-,3,4,3,0,-3,w=3//4,w-3=,w=3//4. w-3=
s,//,//,5,5,9,1,0,s=5//5,s//9=,s=5//5. s//9=
v,*,+,4,4,1,16,17,v=4*4,v+1=,v=4*4. v+1=
d,*,*,2,7,7,14,98,d=2*7,d*7=,d=2*7. d*7=
r,-,//,9,7,4,2,0,r=9-7,r//4=,r=9-7. r//4=
v,-,-,8,4,3,4,1,v=8-4,v-3=,v=8-4. v-3=
y,-,+,8,9,8,-1,7,y=8-9,y+8=,y=8-9. y+8=
u,//,+,6,7,8,0,8,u=6//7,u+8=,u=6//7. u+8=
o,+,//,3,3,8,6,0,o=3+3,o//8=,o=3+3. o//8=
v,//,//,8,9,7,0,0,v=8//9,v//7=,v=8//9. v//7=
v,*,+,5,7,5,35,40,v=5*7,v+5=,v=5*7. v+5=
g,//,-,2,8,8,0,-8,g=2//8,g-8=,g=2//8. g-8=
r,*,*,8,5,8,40,320,r=8*5,r*8=,r=8*5. r*8=
w,//,+,7,6,3,1,4,w=7//6,w+3=,w=7//6. w+3=
y,//,//,2,7,8,0,0,y=2//7,y//8=,y=2//7. y//8=
z,*,+,1,1,5,1,6,z=1*1,z+5=,z=1*1. z+5=
m,//,//,8,1,1,8,8,m=8//1,m//1=,m=8//1. m//1=
d,//,//,5,4,2,1,0,d=5//4,d//2=,d=5//4. d//2=
q,//,+,5,4,2,1,3,q=5//4,q+2=,q=5//4. q+2=
a,*,*,6,8,8,48,384,a=6*8,a*8=,a=6*8. a*8=
l,//,+,5,5,4,1,5,l=5//5,l+4=,l=5//5. l+4=
w,+,//,8,9,5,17,3,w=8+9,w//5=,w=8+9. w//5=
d,+,-,5,5,9,10,1,d=5+5,d-9=,d=5+5. d-9=
j,-,*,3,7,3,-4,-12,j=3-7,j*3=,j=3-7. j*3=
q,//,-,5,3,1,1,0,q=5//3,q-1=,q=5//3. q-1=
m,//,-,1,7,1,0,-1,m=1//7,m-1=,m=1//7. m-1=
w,+,+,1,5,5,6,11,w=1+5,w+5=,w=1+5. w+5=
z,*,*,4,1,8,4,32,z=4*1,z*8=,z=4*1. z*8=
l,+,+,3,3,4,6,10,l=3+3,l+4=,l=3+3. l+4=
b,*,//,1,2,4,2,0,b=1*2,b//4=,b=1*2. b//4=
s,*,+,2,1,1,2,3,s=2*1,s+1=,s=2*1. s+1=
f,-,//,5,5,7,0,0,f=5-5,f//7=,f=5-5. f//7=
t,//,+,3,2,4,1,5,t=3//2,t+4=,t=3//2. t+4=
a,-,-,6,2,8,4,-4,a=6-2,a-8=,a=6-2. a-8=
l,-,*,3,9,8,-6,-48,l=3-9,l*8=,l=3-9. l*8=
t,+,*,8,4,9,12,108,t=8+4,t*9=,t=8+4. t*9=
p,//,//,7,1,9,7,0,p=7//1,p//9=,p=7//1. p//9=
y,+,+,1,4,2,5,7,y=1+4,y+2=,y=1+4. y+2=
o,//,+,1,7,9,0,9,o=1//7,o+9=,o=1//7. o+9=
f,*,//,4,8,8,32,4,f=4*8,f//8=,f=4*8. f//8=
d,//,+,4,1,5,4,9,d=4//1,d+5=,d=4//1. d+5=
l,//,-,4,4,4,1,-3,l=4//4,l-4=,l=4//4. l-4=
v,+,-,6,7,8,13,5,v=6+7,v-8=,v=6+7. v-8=
o,+,-,1,9,9,10,1,o=1+9,o-9=,o=1+9. o-9=
b,//,+,9,2,7,4,11,b=9//2,b+7=,b=9//2. b+7=
z,//,//,1,3,3,0,0,z=1//3,z//3=,z=1//3. z//3=
s,*,//,1,8,7,8,1,s=1*8,s//7=,s=1*8. s//7=
v,-,-,8,6,4,2,-2,v=8-6,v-4=,v=8-6. v-4=
r,-,-,6,7,9,-1,-10,r=6-7,r-9=,r=6-7. r-9=
u,+,-,1,1,2,2,0,u=1+1,u-2=,u=1+1. u-2=
y,*,-,6,1,5,6,1,y=6*1,y-5=,y=6*1. y-5=
a,-,+,1,1,5,0,5,a=1-1,a+5=,a=1-1. a+5=
d,-,//,3,3,9,0,0,d=3-3,d//9=,d=3-3. d//9=
u,-,*,9,5,6,4,24,u=9-5,u*6=,u=9-5. u*6=
m,*,+,7,3,5,21,26,m=7*3,m+5=,m=7*3. m+5=
v,//,*,4,1,6,4,24,v=4//1,v*6=,v=4//1. v*6=
x,+,//,3,8,4,11,2,x=3+8,x//4=,x=3+8. x//4=
i,-,-,1,7,6,-6,-12,i=1-7,i-6=,i=1-7. i-6=
w,-,*,7,2,8,5,40,w=7-2,w*8=,w=7-2. w*8=
n,//,-,1,2,7,0,-7,n=1//2,n-7=,n=1//2. n-7=
w,//,//,8,7,7,1,0,w=8//7,w//7=,w=8//7. w//7=
g,-,*,5,8,1,-3,-3,g=5-8,g*1=,g=5-8. g*1=
j,+,+,4,8,5,12,17,j=4+8,j+5=,j=4+8. j+5=
c,*,*,4,5,5,20,100,c=4*5,c*5=,c=4*5. c*5=
c,*,-,8,3,8,24,16,c=8*3,c-8=,c=8*3. c-8=
x,-,//,5,3,5,2,0,x=5-3,x//5=,x=5-3. x//5=
z,//,-,1,2,6,0,-6,z=1//2,z-6=,z=1//2. z-6=
i,-,//,8,8,1,0,0,i=8-8,i//1=,i=8-8. i//1=
y,//,*,1,5,6,0,0,y=1//5,y*6=,y=1//5. y*6=
j,//,-,2,1,7,2,-5,j=2//1,j-7=,j=2//1. j-7=
r,*,//,1,5,1,5,5,r=1*5,r//1=,r=1*5. r//1=
w,*,*,4,1,8,4,32,w=4*1,w*8=,w=4*1. w*8=
u,//,//,8,1,4,8,2,u=8//1,u//4=,u=8//1. u//4=
a,//,+,4,2,5,2,7,a=4//2,a+5=,a=4//2. a+5=
h,-,-,5,5,8,0,-8,h=5-5,h-8=,h=5-5. h-8=
k,+,*,2,7,7,9,63,k=2+7,k*7=,k=2+7. k*7=
u,//,+,7,2,9,3,12,u=7//2,u+9=,u=7//2. u+9=
l,-,*,9,8,3,1,3,l=9-8,l*3=,l=9-8. l*3=
k,+,//,2,8,1,10,10,k=2+8,k//1=,k=2+8. k//1=
x,-,-,6,6,4,0,-4,x=6-6,x-4=,x=6-6. x-4=
g,//,+,6,4,9,1,10,g=6//4,g+9=,g=6//4. g+9=
w,*,//,6,8,7,48,6,w=6*8,w//7=,w=6*8. w//7=
h,+,//,5,9,7,14,2,h=5+9,h//7=,h=5+9. h//7=
l,//,//,4,2,1,2,2,l=4//2,l//1=,l=4//2. l//1=
i,*,+,4,6,4,24,28,i=4*6,i+4=,i=4*6. i+4=
p,+,*,9,5,9,14,126,p=9+5,p*9=,p=9+5. p*9=
q,*,+,3,9,6,27,33,q=3*9,q+6=,q=3*9. q+6=
l,+,+,3,4,3,7,10,l=3+4,l+3=,l=3+4. l+3=
r,-,//,4,7,1,-3,-3,r=4-7,r//1=,r=4-7. r//1=
s,*,//,2,1,5,2,0,s=2*1,s//5=,s=2*1. s//5=
j,-,//,5,6,5,-1,-1,j=5-6,j//5=,j=5-6. j//5=
w,+,//,8,6,9,14,1,w=8+6,w//9=,w=8+6. w//9=
n,*,+,2,5,2,10,12,n=2*5,n+2=,n=2*5. n+2=
y,-,//,2,3,9,-1,-1,y=2-3,y//9=,y=2-3. y//9=
f,-,+,2,4,7,-2,5,f=2-4,f+7=,f=2-4. f+7=
x,//,*,9,8,4,1,4,x=9//8,x*4=,x=9//8. x*4=
j,//,-,1,3,3,0,-3,j=1//3,j-3=,j=1//3. j-3=
u,//,*,4,7,9,0,0,u=4//7,u*9=,u=4//7. u*9=
c,*,*,8,1,3,8,24,c=8*1,c*3=,c=8*1. c*3=
y,*,+,4,3,8,12,20,y=4*3,y+8=,y=4*3. y+8=
k,-,+,6,7,8,-1,7,k=6-7,k+8=,k=6-7. k+8=
c,*,//,2,5,3,10,3,c=2*5,c//3=,c=2*5. c//3=
c,//,*,3,1,5,3,15,c=3//1,c*5=,c=3//1. c*5=
s,//,//,3,4,5,0,0,s=3//4,s//5=,s=3//4. s//5=
w,*,//,9,8,1,72,72,w=9*8,w//1=,w=9*8. w//1=
w,//,-,5,9,9,0,-9,w=5//9,w-9=,w=5//9. w-9=
r,+,//,4,3,2,7,3,r=4+3,r//2=,r=4+3. r//2=
h,+,-,8,2,2,10,8,h=8+2,h-2=,h=8+2. h-2=
y,*,*,8,9,1,72,72,y=8*9,y*1=,y=8*9. y*1=
b,+,*,1,3,2,4,8,b=1+3,b*2=,b=1+3. b*2=
c,*,//,7,2,7,14,2,c=7*2,c//7=,c=7*2. c//7=
s,+,*,2,4,9,6,54,s=2+4,s*9=,s=2+4. s*9=
t,-,+,2,9,4,-7,-3,t=2-9,t+4=,t=2-9. t+4=
t,*,+,6,6,8,36,44,t=6*6,t+8=,t=6*6. t+8=
k,-,-,9,5,6,4,-2,k=9-5,k-6=,k=9-5. k-6=
y,-,*,4,8,2,-4,-8,y=4-8,y*2=,y=4-8. y*2=
g,-,*,2,4,2,-2,-4,g=2-4,g*2=,g=2-4. g*2=
n,+,*,1,5,8,6,48,n=1+5,n*8=,n=1+5. n*8=
i,*,*,3,5,6,15,90,i=3*5,i*6=,i=3*5. i*6=
w,-,*,4,3,4,1,4,w=4-3,w*4=,w=4-3. w*4=
e,*,*,5,8,6,40,240,e=5*8,e*6=,e=5*8. e*6=
s,-,-,1,8,4,-7,-11,s=1-8,s-4=,s=1-8. s-4=
t,*,-,9,2,3,18,15,t=9*2,t-3=,t=9*2. t-3=
a,+,+,5,5,7,10,17,a=5+5,a+7=,a=5+5. a+7=
g,-,//,2,6,2,-4,-2,g=2-6,g//2=,g=2-6. g//2=
y,+,*,7,7,7,14,98,y=7+7,y*7=,y=7+7. y*7=
q,*,+,8,5,6,40,46,q=8*5,q+6=,q=8*5. q+6=
e,-,-,5,5,9,0,-9,e=5-5,e-9=,e=5-5. e-9=
r,+,//,5,4,2,9,4,r=5+4,r//2=,r=5+4. r//2=
p,+,//,3,3,7,6,0,p=3+3,p//7=,p=3+3. p//7=
w,+,-,7,5,4,12,8,w=7+5,w-4=,w=7+5. w-4=
l,-,-,9,2,8,7,-1,l=9-2,l-8=,l=9-2. l-8=
i,//,*,5,9,8,0,0,i=5//9,i*8=,i=5//9. i*8=
e,-,//,2,1,5,1,0,e=2-1,e//5=,e=2-1. e//5=
o,+,*,2,1,7,3,21,o=2+1,o*7=,o=2+1. o*7=
u,+,*,3,8,1,11,11,u=3+8,u*1=,u=3+8. u*1=
s,*,//,8,4,2,32,16,s=8*4,s//2=,s=8*4. s//2=
j,-,//,6,9,5,-3,-1,j=6-9,j//5=,j=6-9. j//5=
b,-,*,7,8,3,-1,-3,b=7-8,b*3=,b=7-8. b*3=
b,-,*,4,8,8,-4,-32,b=4-8,b*8=,b=4-8. b*8=
k,-,//,7,9,2,-2,-1,k=7-9,k//2=,k=7-9. k//2=
k,+,*,7,8,3,15,45,k=7+8,k*3=,k=7+8. k*3=
j,//,-,5,3,6,1,-5,j=5//3,j-6=,j=5//3. j-6=
e,*,-,3,1,4,3,-1,e=3*1,e-4=,e=3*1. e-4=
u,*,//,7,6,8,42,5,u=7*6,u//8=,u=7*6. u//8=
h,+,+,8,9,7,17,24,h=8+9,h+7=,h=8+9. h+7=
r,-,+,8,3,5,5,10,r=8-3,r+5=,r=8-3. r+5=
q,+,*,9,6,6,15,90,q=9+6,q*6=,q=9+6. q*6=
a,*,+,1,2,3,2,5,a=1*2,a+3=,a=1*2. a+3=
j,-,//,7,7,7,0,0,j=7-7,j//7=,j=7-7. j//7=
q,//,*,6,8,2,0,0,q=6//8,q*2=,q=6//8. q*2=
b,-,+,5,9,2,-4,-2,b=5-9,b+2=,b=5-9. b+2=
q,-,//,7,1,4,6,1,q=7-1,q//4=,q=7-1. q//4=
y,*,+,2,9,6,18,24,y=2*9,y+6=,y=2*9. y+6=
c,+,//,1,8,7,9,1,c=1+8,c//7=,c=1+8. c//7=
a,//,*,4,4,4,1,4,a=4//4,a*4=,a=4//4. a*4=
m,+,-,8,8,4,16,12,m=8+8,m-4=,m=8+8. m-4=
p,*,//,9,6,5,54,10,p=9*6,p//5=,p=9*6. p//5=
v,//,+,7,7,8,1,9,v=7//7,v+8=,v=7//7. v+8=
l,//,//,1,5,8,0,0,l=1//5,l//8=,l=1//5. l//8=
b,-,//,4,3,9,1,0,b=4-3,b//9=,b=4-3. b//9=
k,-,-,7,5,9,2,-7,k=7-5,k-9=,k=7-5. k-9=
y,-,+,1,5,2,-4,-2,y=1-5,y+2=,y=1-5. y+2=
d,*,*,2,1,6,2,12,d=2*1,d*6=,d=2*1. d*6=
d,-,-,6,3,7,3,-4,d=6-3,d-7=,d=6-3. d-7=
n,-,//,1,3,4,-2,-1,n=1-3,n//4=,n=1-3. n//4=
a,*,*,7,4,9,28,252,a=7*4,a*9=,a=7*4. a*9=
s,*,//,8,8,8,64,8,s=8*8,s//8=,s=8*8. s//8=
d,+,+,6,2,1,8,9,d=6+2,d+1=,d=6+2. d+1=
k,+,-,1,6,7,7,0,k=1+6,k-7=,k=1+6. k-7=
s,+,*,5,5,1,10,10,s=5+5,s*1=,s=5+5. s*1=
k,+,//,7,6,7,13,1,k=7+6,k//7=,k=7+6. k//7=
p,+,-,5,8,7,13,6,p=5+8,p-7=,p=5+8. p-7=
l,//,+,2,1,4,2,6,l=2//1,l+4=,l=2//1. l+4=
v,//,*,3,7,3,0,0,v=3//7,v*3=,v=3//7. v*3=
s,*,*,8,8,5,64,320,s=8*8,s*5=,s=8*8. s*5=
b,*,*,5,8,9,40,360,b=5*8,b*9=,b=5*8. b*9=
h,//,+,5,5,6,1,7,h=5//5,h+6=,h=5//5. h+6=
w,//,*,2,5,2,0,0,w=2//5,w*2=,w=2//5. w*2=
n,*,*,8,5,8,40,320,n=8*5,n*8=,n=8*5. n*8=
m,+,*,6,4,8,10,80,m=6+4,m*8=,m=6+4. m*8=
q,-,+,5,1,6,4,10,q=5-1,q+6=,q=5-1. q+6=
i,-,-,3,5,1,-2,-3,i=3-5,i-1=,i=3-5. i-1=
x,-,//,3,4,3,-1,-1,x=3-4,x//3=,x=3-4. x//3=
b,//,//,7,9,8,0,0,b=7//9,b//8=,b=7//9. b//8=
s,//,-,1,2,7,0,-7,s=1//2,s-7=,s=1//2. s-7=
d,+,-,1,8,6,9,3,d=1+8,d-6=,d=1+8. d-6=
d,*,-,6,4,4,24,20,d=6*4,d-4=,d=6*4. d-4=
g,*,//,7,7,5,49,9,g=7*7,g//5=,g=7*7. g//5=
c,+,-,7,5,6,12,6,c=7+5,c-6=,c=7+5. c-6=
i,*,+,1,6,2,6,8,i=1*6,i+2=,i=1*6. i+2=
u,*,*,8,3,5,24,120,u=8*3,u*5=,u=8*3. u*5=
s,+,+,5,8,8,13,21,s=5+8,s+8=,s=5+8. s+8=
h,//,-,1,6,2,0,-2,h=1//6,h-2=,h=1//6. h-2=
e,+,-,6,1,8,7,-1,e=6+1,e-8=,e=6+1. e-8=
b,-,-,7,5,5,2,-3,b=7-5,b-5=,b=7-5. b-5=
w,*,+,7,3,6,21,27,w=7*3,w+6=,w=7*3. w+6=
f,+,+,6,8,2,14,16,f=6+8,f+2=,f=6+8. f+2=
b,+,+,3,7,1,10,11,b=3+7,b+1=,b=3+7. b+1=
o,//,//,7,1,5,7,1,o=7//1,o//5=,o=7//1. o//5=
v,*,+,9,5,7,45,52,v=9*5,v+7=,v=9*5. v+7=
j,*,*,6,4,7,24,168,j=6*4,j*7=,j=6*4. j*7=
m,-,-,3,5,1,-2,-3,m=3-5,m-1=,m=3-5. m-1=
t,-,*,6,2,2,4,8,t=6-2,t*2=,t=6-2. t*2=
t,//,+,7,3,8,2,10,t=7//3,t+8=,t=7//3. t+8=
j,//,*,9,7,8,1,8,j=9//7,j*8=,j=9//7. j*8=
d,+,+,7,9,3,16,19,d=7+9,d+3=,d=7+9. d+3=
p,*,-,8,9,6,72,66,p=8*9,p-6=,p=8*9. p-6=
n,//,-,6,1,9,6,-3,n=6//1,n-9=,n=6//1. n-9=
j,-,//,3,6,4,-3,-1,j=3-6,j//4=,j=3-6. j//4=
q,//,+,6,3,5,2,7,q=6//3,q+5=,q=6//3. q+5=
h,-,//,6,1,3,5,1,h=6-1,h//3=,h=6-1. h//3=
v,//,-,6,9,8,0,-8,v=6//9,v-8=,v=6//9. v-8=
m,-,+,2,8,4,-6,-2,m=2-8,m+4=,m=2-8. m+4=
c,*,*,2,3,3,6,18,c=2*3,c*3=,c=2*3. c*3=
i,+,-,1,3,5,4,-1,i=1+3,i-5=,i=1+3. i-5=
w,*,-,4,5,1,20,19,w=4*5,w-1=,w=4*5. w-1=
e,-,+,9,9,8,0,8,e=9-9,e+8=,e=9-9. e+8=
y,-,-,5,1,6,4,-2,y=5-1,y-6=,y=5-1. y-6=
n,*,*,3,2,9,6,54,n=3*2,n*9=,n=3*2. n*9=
x,-,-,3,5,7,-2,-9,x=3-5,x-7=,x=3-5. x-7=
n,-,+,5,6,5,-1,4,n=5-6,n+5=,n=5-6. n+5=
u,*,+,2,6,2,12,14,u=2*6,u+2=,u=2*6. u+2=
d,+,//,9,1,1,10,10,d=9+1,d//1=,d=9+1. d//1=
g,+,+,8,2,5,10,15,g=8+2,g+5=,g=8+2. g+5=
p,*,*,2,8,2,16,32,p=2*8,p*2=,p=2*8. p*2=
g,//,//,2,7,2,0,0,g=2//7,g//2=,g=2//7. g//2=
a,*,//,5,3,9,15,1,a=5*3,a//9=,a=5*3. a//9=
i,//,+,6,6,4,1,5,i=6//6,i+4=,i=6//6. i+4=
x,*,-,9,9,9,81,72,x=9*9,x-9=,x=9*9. x-9=
f,*,*,5,1,5,5,25,f=5*1,f*5=,f=5*1. f*5=
j,//,-,1,1,7,1,-6,j=1//1,j-7=,j=1//1. j-7=
j,*,//,7,8,3,56,18,j=7*8,j//3=,j=7*8. j//3=
o,*,//,3,5,6,15,2,o=3*5,o//6=,o=3*5. o//6=
n,//,+,2,6,1,0,1,n=2//6,n+1=,n=2//6. n+1=
k,*,-,1,1,9,1,-8,k=1*1,k-9=,k=1*1. k-9=
b,+,-,9,7,2,16,14,b=9+7,b-2=,b=9+7. b-2=
u,+,+,6,9,9,15,24,u=6+9,u+9=,u=6+9. u+9=
v,+,-,7,7,5,14,9,v=7+7,v-5=,v=7+7. v-5=
w,//,//,3,1,8,3,0,w=3//1,w//8=,w=3//1. w//8=
h,*,+,9,5,6,45,51,h=9*5,h+6=,h=9*5. h+6=
q,*,//,8,3,5,24,4,q=8*3,q//5=,q=8*3. q//5=
y,-,*,1,5,8,-4,-32,y=1-5,y*8=,y=1-5. y*8=
b,//,*,9,4,7,2,14,b=9//4,b*7=,b=9//4. b*7=
t,-,+,7,4,8,3,11,t=7-4,t+8=,t=7-4. t+8=
c,-,*,6,4,2,2,4,c=6-4,c*2=,c=6-4. c*2=
e,//,//,6,3,2,2,1,e=6//3,e//2=,e=6//3. e//2=
i,-,+,7,6,8,1,9,i=7-6,i+8=,i=7-6. i+8=
g,*,+,2,8,4,16,20,g=2*8,g+4=,g=2*8. g+4=
h,*,+,1,6,9,6,15,h=1*6,h+9=,h=1*6. h+9=
o,*,-,4,1,8,4,-4,o=4*1,o-8=,o=4*1. o-8=
h,+,-,7,9,8,16,8,h=7+9,h-8=,h=7+9. h-8=
e,-,//,9,1,1,8,8,e=9-1,e//1=,e=9-1. e//1=
b,+,*,6,5,9,11,99,b=6+5,b*9=,b=6+5. b*9=
y,//,+,7,2,5,3,8,y=7//2,y+5=,y=7//2. y+5=
c,+,-,8,7,4,15,11,c=8+7,c-4=,c=8+7. c-4=
w,*,//,6,5,4,30,7,w=6*5,w//4=,w=6*5. w//4=
g,//,//,2,3,5,0,0,g=2//3,g//5=,g=2//3. g//5=
m,//,-,1,8,4,0,-4,m=1//8,m-4=,m=1//8. m-4=
l,*,-,5,7,5,35,30,l=5*7,l-5=,l=5*7. l-5=
n,+,//,5,4,3,9,3,n=5+4,n//3=,n=5+4. n//3=
q,+,//,2,7,6,9,1,q=2+7,q//6=,q=2+7. q//6=
n,+,//,7,7,1,14,14,n=7+7,n//1=,n=7+7. n//1=
k,*,-,3,1,8,3,-5,k=3*1,k-8=,k=3*1. k-8=
w,*,*,5,3,4,15,60,w=5*3,w*4=,w=5*3. w*4=
b,+,*,1,7,3,8,24,b=1+7,b*3=,b=1+7. b*3=
m,*,-,8,4,2,32,30,m=8*4,m-2=,m=8*4. m-2=
o,+,//,9,3,7,12,1,o=9+3,o//7=,o=9+3. o//7=
m,//,*,6,3,1,2,2,m=6//3,m*1=,m=6//3. m*1=
x,//,*,3,6,7,0,0,x=3//6,x*7=,x=3//6. x*7=
j,-,//,7,7,8,0,0,j=7-7,j//8=,j=7-7. j//8=
z,+,+,7,7,2,14,16,z=7+7,z+2=,z=7+7. z+2=
n,//,//,9,5,8,1,0,n=9//5,n//8=,n=9//5. n//8=
p,//,//,3,8,3,0,0,p=3//8,p//3=,p=3//8. p//3=
d,+,-,3,6,2,9,7,d=3+6,d-2=,d=3+6. d-2=
w,-,+,9,3,7,6,13,w=9-3,w+7=,w=9-3. w+7=
h,-,+,2,8,2,-6,-4,h=2-8,h+2=,h=2-8. h+2=
w,+,-,2,9,9,11,2,w=2+9,w-9=,w=2+9. w-9=
c,-,-,1,8,6,-7,-13,c=1-8,c-6=,c=1-8. c-6=
b,+,*,4,3,3,7,21,b=4+3,b*3=,b=4+3. b*3=
e,//,+,7,6,9,1,10,e=7//6,e+9=,e=7//6. e+9=
s,*,-,7,4,7,28,21,s=7*4,s-7=,s=7*4. s-7=
m,//,+,6,1,9,6,15,m=6//1,m+9=,m=6//1. m+9=
p,-,//,8,7,8,1,0,p=8-7,p//8=,p=8-7. p//8=
k,+,//,5,7,2,12,6,k=5+7,k//2=,k=5+7. k//2=
e,+,-,9,4,7,13,6,e=9+4,e-7=,e=9+4. e-7=
u,-,//,1,5,4,-4,-1,u=1-5,u//4=,u=1-5. u//4=
g,*,-,5,9,9,45,36,g=5*9,g-9=,g=5*9. g-9=
z,//,+,2,5,9,0,9,z=2//5,z+9=,z=2//5. z+9=
k,+,-,8,6,3,14,11,k=8+6,k-3=,k=8+6. k-3=
j,-,*,1,3,5,-2,-10,j=1-3,j*5=,j=1-3. j*5=
m,//,*,8,5,1,1,1,m=8//5,m*1=,m=8//5. m*1=
q,-,+,4,5,6,-1,5,q=4-5,q+6=,q=4-5. q+6=
c,-,-,8,4,7,4,-3,c=8-4,c-7=,c=8-4. c-7=
m,-,+,4,7,9,-3,6,m=4-7,m+9=,m=4-7. m+9=
o,-,//,4,3,1,1,1,o=4-3,o//1=,o=4-3. o//1=
n,+,*,1,3,2,4,8,n=1+3,n*2=,n=1+3. n*2=
j,*,-,2,2,3,4,1,j=2*2,j-3=,j=2*2. j-3=
h,//,-,3,2,4,1,-3,h=3//2,h-4=,h=3//2. h-4=
g,-,+,6,8,8,-2,6,g=6-8,g+8=,g=6-8. g+8=
v,//,+,8,1,6,8,14,v=8//1,v+6=,v=8//1. v+6=
p,//,*,8,8,6,1,6,p=8//8,p*6=,p=8//8. p*6=
c,+,+,6,7,1,13,14,c=6+7,c+1=,c=6+7. c+1=
k,//,+,7,3,6,2,8,k=7//3,k+6=,k=7//3. k+6=
x,+,-,9,7,8,16,8,x=9+7,x-8=,x=9+7. x-8=
r,+,+,1,6,5,7,12,r=1+6,r+5=,r=1+6. r+5=
q,//,-,8,4,9,2,-7,q=8//4,q-9=,q=8//4. q-9=
q,+,//,1,1,3,2,0,q=1+1,q//3=,q=1+1. q//3=
j,-,*,5,3,7,2,14,j=5-3,j*7=,j=5-3. j*7=
g,-,+,9,9,9,0,9,g=9-9,g+9=,g=9-9. g+9=
h,*,*,9,2,9,18,162,h=9*2,h*9=,h=9*2. h*9=
n,//,*,1,4,2,0,0,n=1//4,n*2=,n=1//4. n*2=
s,*,//,8,2,5,16,3,s=8*2,s//5=,s=8*2. s//5=
r,//,*,3,1,8,3,24,r=3//1,r*8=,r=3//1. r*8=
l,//,*,1,6,7,0,0,l=1//6,l*7=,l=1//6. l*7=
l,//,//,5,5,4,1,0,l=5//5,l//4=,l=5//5. l//4=
l,*,*,6,9,2,54,108,l=6*9,l*2=,l=6*9. l*2=
t,*,+,7,7,4,49,53,t=7*7,t+4=,t=7*7. t+4=
q,//,-,3,5,9,0,-9,q=3//5,q-9=,q=3//5. q-9=
h,+,-,6,6,7,12,5,h=6+6,h-7=,h=6+6. h-7=
m,//,-,9,2,6,4,-2,m=9//2,m-6=,m=9//2. m-6=
u,+,-,7,2,2,9,7,u=7+2,u-2=,u=7+2. u-2=
c,+,+,2,3,3,5,8,c=2+3,c+3=,c=2+3. c+3=
x,//,-,1,6,8,0,-8,x=1//6,x-8=,x=1//6. x-8=
x,//,*,7,8,1,0,0,x=7//8,x*1=,x=7//8. x*1=
c,+,*,3,6,7,9,63,c=3+6,c*7=,c=3+6. c*7=
x,+,+,5,4,5,9,14,x=5+4,x+5=,x=5+4. x+5=
